oftic,TICKER,MEASURE,FISCALP,PYEAR,PMON,anndats,suescore
CL,CL,EPS,QTR,2022,9,2022-10-28,0.42006
CL,CL,EPS,QTR,2022,12,2023-01-27,0.44822
CL,CL,EPS,QTR,2023,3,2023-04-28,1.03245
CL,CL,EPS,QTR,2023,6,2023-07-28,1.60985
CL,CL,EPS,QTR,2023,9,2023-10-27,4.74131
CL,CL,EPS,QTR,2023,12,2024-01-26,1.15314
CL,CL,EPS,QTR,2024,3,2024-04-26,2.04268
CL,CL,EPS,QTR,2024,6,2024-07-26,3.04541
CL,CL,EPS,QTR,2024,9,2024-10-25,2.27176
CL,CL,EPS,QTR,2024,12,2025-01-31,1.44533
CL,CL,EPS,QTR,2025,3,2025-04-25,2.56769
CL,CL,EPS,QTR,2025,6,2025-08-01,1.26859
CL,CL,EPS,QTR,2025,9,2025-10-31,1.50872
CMCSA,CMCS,EPS,QTR,2021,12,2022-01-27,1.89188
CMCSA,CMCS,EPS,QTR,2022,3,2022-04-28,2.19133
CMCSA,CMCS,EPS,QTR,2022,6,2022-07-28,4.30737
CMCSA,CMCS,EPS,QTR,2022,9,2022-10-27,1.2305
CMCSA,CMCS,EPS,QTR,2022,12,2023-01-26,1.36091
CMCSA,CMCS,EPS,QTR,2023,3,2023-04-27,2.99405
CMCSA,CMCS,EPS,QTR,2023,6,2023-07-27,4.53509
CMCSA,CMCS,EPS,QTR,2023,9,2023-10-26,4.80333
CMCSA,CMCS,EPS,QTR,2023,12,2024-01-25,1.60639
CMCSA,CMCS,EPS,QTR,2024,3,2024-04-25,2.20671
CMCSA,CMCS,EPS,QTR,2024,6,2024-07-23,2.79494
CMCSA,CMCS,EPS,QTR,2024,9,2024-10-31,1.66155
CMCSA,CMCS,EPS,QTR,2024,12,2025-01-30,2.27712
CMCSA,CMCS,EPS,QTR,2025,3,2025-04-24,1.87039
CMCSA,CMCS,EPS,QTR,2025,6,2025-07-31,2.26305
CMCSA,CMCS,EPS,QTR,2025,9,2025-10-30,0.78473
COF,COF,EPS,QTR,2021,12,2022-01-25,0.36804
COF,COF,EPS,QTR,2022,3,2022-04-26,1.00101
