company,ticker,date,file,PERMNO,Ticker,IssuerNm,event_trading_day,next_call_date,car_m1_p3,n_days_car,long_run_start,long_run_end,long_run_abret,n_days_long_run,total_words,pres_words,qa_words,core_hits_total,core_hits_pres,core_hits_qa,adj_hits_total,adj_hits_pres,adj_hits_qa,lm_positive_total,lm_negative_total,lm_uncertainty_count_total,lm_tone_total,lm_uncertainty_total,lm_positive_pres,lm_negative_pres,lm_uncertainty_count_pres,lm_tone_pres,lm_uncertainty_pres,lm_positive_qa,lm_negative_qa,lm_uncertainty_count_qa,lm_tone_qa,lm_uncertainty_qa,fiscal_quarter,fiscal_year,fiscal_period,core_per_1000_total,core_per_1000_pres,core_per_1000_qa,adj_per_1000_total,adj_per_1000_pres,adj_per_1000_qa
Wells Fargo & Co,WFC,2023-04-14,2023-Apr-14-WFC.N-137654714679-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2023-04-14,2023-07-14,0.062054,5,2023-04-17,2023-07-13,0.028363999999999993,61,11462,4458,6791,2,2,0,0,0,0,109,136,138,-0.11020408163265306,0.012613106663010694,56,71,37,-0.11811023622047244,0.008714083843617522,53,64,101,-0.09401709401709402,0.015519360786724033,"1,0","2023,0",Q1 2023,0.17448961786773687,0.44863167339614174,0.0,0.0,0.0,0.0
Wells Fargo & Co,WFC,2023-07-14,2023-Jul-14-WFC.N-138602195796-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2023-07-14,2023-10-13,0.046999,5,2023-07-17,2023-10-12,-0.03768999999999999,63,10705,3876,6646,1,1,0,0,0,0,92,129,117,-0.167420814479638,0.0114280132838445,44,63,39,-0.17757009345794392,0.01060070671378092,48,65,78,-0.1504424778761062,0.012185596000624903,"2,0","2023,0",Q2 2023,0.09341429238673517,0.25799793601651183,0.0,0.0,0.0,0.0
Wells Fargo & Co,WFC,2023-10-13,2023-Oct-13-WFC.N-140772639982-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2023-10-13,2024-01-12,0.062113,5,2023-10-16,2024-01-11,0.08822500000000003,61,11759,4319,7263,1,1,0,1,0,1,122,126,147,-0.016129032258064516,0.012996198390946866,56,68,37,-0.0967741935483871,0.009004623996106109,66,57,110,0.07317073170731707,0.015602836879432624,"3,0","2023,0",Q3 2023,0.08504124500382686,0.23153507756425099,0.0,0.08504124500382686,0.0,0.137684152554041
Wells Fargo & Co,WFC,2024-01-12,2024-Jan-12-WFC.N-139828229470-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2024-01-12,2024-04-12,-0.05032400000000001,5,2024-01-16,2024-04-11,0.11179299999999999,61,11620,4939,6468,1,1,0,1,0,1,161,130,116,0.10652920962199312,0.010462704067827185,91,68,47,0.14465408805031446,0.010059931506849315,70,61,69,0.06870229007633588,0.01108077726031797,"4,0","2023,0",Q4 2023,0.08605851979345956,0.2024701356549909,0.0,0.08605851979345956,0.0,0.15460729746444032
Wells Fargo & Co,WFC,2024-04-12,2024-Apr-12-WFC.N-137858675987-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2024-04-12,2024-07-12,0.033468,5,2024-04-15,2024-07-11,-0.006079000000000015,61,12449,3623,8615,0,0,0,0,0,0,159,140,131,0.06354515050167224,0.010912119950020824,70,64,39,0.04477611940298507,0.011353711790393014,89,75,92,0.08536585365853659,0.01097328244274809,"1,0","2024,0",Q1 2024,0.0,0.0,0.0,0.0,0.0,0.0
Wells Fargo & Co,WFC,2024-07-12,2024-Jul-12-WFC.N-137719864907-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2024-07-12,2024-10-11,0.02088000000000001,5,2024-07-15,2024-10-10,0.005088999999999998,63,10824,4210,6504,10,1,9,0,0,0,141,120,119,0.08045977011494253,0.011360381861575179,79,67,40,0.0821917808219178,0.009925558312655087,62,52,79,0.08771929824561403,0.012433112999685237,"2,0","2024,0",Q2 2024,0.9238728750923872,0.2375296912114014,1.3837638376383763,0.0,0.0,0.0
Wells Fargo & Co,WFC,2024-10-11,2024-Oct-11-WFC.N-139023546075-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2024-10-11,2025-01-15,0.095106,5,2024-10-14,2025-01-14,0.162259,63,8632,3550,4971,0,0,0,0,0,0,107,97,88,0.049019607843137254,0.010621605310802655,51,60,23,-0.08108108108108109,0.006814814814814815,56,36,65,0.21739130434782608,0.013491075134910751,"3,0","2024,0",Q3 2024,0.0,0.0,0.0,0.0,0.0,0.0
Wells Fargo & Co,WFC,2025-01-15,2025-Jan-15-WFC.N-138503667162-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2025-01-15,2025-04-11,0.061464000000000005,5,2025-01-16,2025-04-10,-0.051545,59,11575,4646,6795,0,0,0,1,0,1,195,78,135,0.42857142857142855,0.012165450121654502,119,43,43,0.4691358024691358,0.009830818472793781,76,34,92,0.38181818181818183,0.013916200272273483,"4,0","2024,0",Q4 2024,0.0,0.0,0.0,0.08639308855291578,0.0,0.14716703458425312
Wells Fargo & Co,WFC,2025-04-11,2025-Apr-11-WFC.N-140778282790-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2025-04-11,2025-07-15,-0.007772999999999995,5,2025-04-14,2025-07-14,0.13582300000000003,62,13248,3530,9588,0,0,0,0,0,0,182,141,136,0.12693498452012383,0.010643293160118954,78,54,25,0.18181818181818182,0.007429420505200594,104,86,111,0.09473684210526316,0.011931634956465657,"1,0","2025,0",Q1 2025,0.0,0.0,0.0,0.0,0.0,0.0
Wells Fargo & Co,WFC,2025-07-15,2025-Jul-15-WFC.N-140778028012-Transcript.txt,38703,WFC,WELLS FARGO & CO NEW,2025-07-15,2025-10-14,-0.028576999999999998,5,2025-07-16,2025-10-13,-0.05799300000000002,63,11733,4147,7455,4,0,4,0,0,0,161,76,115,0.35864978902953587,0.010137517630465444,83,39,29,0.36065573770491804,0.007326932794340576,78,36,86,0.3684210526315789,0.011819681143485432,"2,0","2025,0",Q2 2025,0.3409187761015938,0.0,0.5365526492287056,0.0,0.0,0.0
